project,cpt_id,z_top_m,z_bot_m,z_mid_m,gwl_m,geo_age,test_method,qc_mpa,fs_mpa,u2_mpa,rf_pct,vs_meas_mps,qt_mpa,z_above_gwl_m,z_below_gwl_m,gamma_sat_kn_m3,gamma_unsat_kn_m3,sigma_v_kpa,u0_kpa,sigma_eff_kpa,bq,log_vs_meas,group_project,group_cpt
Hungaria krt,CPT4,1.0,2.0,1.5,6.8,Quaternary,SCPT,7.015411764705882,0.03424019607843137,0.0,0.48807108159626145,162.4,7.015411764705882,5.3,0.0,28.746449628994622,27.746449628994622,188.67585747716342,0.0,188.67585747716342,0.0,5.090062427727577,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,2.0,3.0,2.5,6.8,Quaternary,SCPT,8.271196078431371,0.06309274509803922,0.0,0.7628007424774378,288.5,8.271196078431371,4.3,0.0,30.925027969436805,29.925027969436805,203.49019019217027,0.0,203.49019019217027,0.0,5.664695085948154,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,3.0,4.0,3.5,6.8,Quaternary,SCPT,9.575372549019606,0.07952921568627448,0.0001372549019607843,0.830560015071343,350.1,9.575413725490195,3.3,0.0,31.856265380921464,30.856265380921464,209.82260459026594,0.0,209.82260459026594,1.4655231067528778e-05,5.85821882796062,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,4.0,5.0,4.5,6.8,Quaternary,SCPT,22.12003921568628,0.1795603921568627,0.00023529411764705888,0.8117544024493801,433.7,22.120109803921572,2.3,0.0,35.049901188168164,34.049901188168164,231.5393280795435,0.0,231.5393280795435,1.0749633828611522e-05,6.07235305084132,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,5.0,6.0,5.5,6.8,Quaternary,SCPT,30.437843137254905,0.2594201960784314,0.0020000000000000013,0.852294937287819,462.7,30.438443137254904,1.2999999999999998,0.0,36.48018232601339,35.48018232601339,241.26523981689107,0.0,241.26523981689107,6.623135469125031e-05,6.137078895912954,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,6.0,7.0,6.5,6.8,Quaternary,SCPT,30.48896078431373,0.25799568627450986,0.005921568627450982,0.8461937686221372,333.9,30.490737254901966,0.2999999999999998,0.0,36.51944235355272,35.51944235355272,241.5322080041585,0.0,241.5322080041585,0.00019575947924153024,5.810841546949609,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,7.0,8.0,7.5,6.8,Quaternary,SCPT,16.363529411764706,0.18559980392156863,0.06941176470588233,1.1342284372229012,343.2,16.38435294117647,0.0,0.7000000000000002,35.11091301345077,34.11091301345077,256.5318476008808,6.867000000000002,249.6648476008808,0.00387806662431273,5.838313367613807,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,8.0,9.0,8.5,6.8,Quaternary,SCPT,26.857098039215696,0.09461019607843135,0.02809803921568626,0.3522725945308208,227.5,26.8655274509804,0.0,1.7000000000000002,33.40951357814284,32.40951357814284,277.18086541421417,16.677000000000003,260.50386541421415,0.00042955056189489835,5.427150238391005,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,9.0,10.0,9.5,6.8,Quaternary,SCPT,12.717823529411763,0.11937784313725491,0.044039215686274516,0.9386656676055992,242.8,12.731035294117646,0.0,2.7,33.644295111947734,32.644295111947734,312.82080356350343,26.487000000000002,286.3338035635034,0.0014134250700554034,5.492238059185343,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,10.0,11.0,10.5,6.8,Tertiary,SCPT,4.805019607843136,0.17776549019607843,0.07605882352941179,3.699578871768086,233.1,4.82783725490196,0.0,3.7,34.232903699654905,33.232903699654905,352.6454888463765,36.297000000000004,316.3484888463765,0.008884942949485651,5.4514675460417115,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,11.0,12.0,11.5,6.8,Tertiary,SCPT,5.648941176470588,0.18232705882352943,0.07258823529411765,3.2276324558480507,247.4,5.670717647058823,0.0,4.7,34.454110704836985,33.454110704836985,389.4222731056253,46.107000000000006,343.3152731056253,0.0050141553196816745,5.511006459958388,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,12.0,13.0,12.5,6.8,Tertiary,SCPT,6.17486274509804,0.175641568627451,0.06209803921568632,2.8444610978095883,278.2,6.193492156862746,0.0,5.7,34.427549177362266,33.427549177362266,423.5443647170283,55.917,367.6273647170283,0.0010712469918878968,5.6283402794893425,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,13.0,14.0,13.5,6.8,Tertiary,SCPT,5.543176470588235,0.2157856862745098,0.04411764705882353,3.892816463979739,206.7,5.556411764705882,0.0,6.7,35.01506880326848,34.01506880326848,465.9034288441244,65.727,400.1764288441244,-0.004245028495276649,5.331268466687723,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,14.0,15.0,14.5,6.8,Tertiary,SCPT,6.822490196078431,0.2559747058823528,0.010352941176470596,3.7519248621198042,238.6,6.8255960784313725,0.0,7.7,35.71211728872571,34.71211728872571,511.0257006865228,75.537,435.48870068652275,-0.010322801857314778,5.474788509663815,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,15.0,16.0,15.5,6.8,Tertiary,SCPT,7.360274509803921,0.2588839215686275,0.25588235294117645,3.517313399436296,342.0,7.437039215686275,0.0,8.7,35.82921419760715,34.82921419760715,548.5528200629108,85.347,463.2058200629108,0.024756578317339354,5.834810737062605,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,16.0,17.0,16.5,6.8,Tertiary,SCPT,5.207156862745099,0.20344725490196075,0.5636666666666668,3.907069832244459,266.7,5.376256862745099,0.0,9.7,34.87569331112257,33.87569331112257,568.6489396335223,95.157,473.49193963352235,0.09745172113857369,5.586124431187969,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,17.0,18.0,17.5,6.8,Tertiary,SCPT,4.974980392156863,0.15545274509803925,0.9340588235294116,3.124690608692911,185.1,5.255198039215687,0.0,10.7,34.04506693434307,33.04506693434307,588.9886713510036,104.967,484.02167135100365,0.17767994493329273,5.220896219579452,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,18.0,19.0,18.5,6.8,Tertiary,SCPT,5.845607843137255,0.14210117647058826,1.3473333333333335,2.4309050535679546,209.6,6.249807843137256,0.0,11.7,33.90635041375146,32.90635041375146,620.467482654402,114.777,505.69048265440205,0.2189521781247584,5.345200952446887,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,19.0,20.0,19.5,6.8,Tertiary,SCPT,4.712666666666666,0.12919941176470584,0.903313725490196,2.7415351202017084,268.3,4.9836607843137255,0.0,12.7,33.470187590834655,32.470187590834655,645.8686580212757,124.587,521.2816580212757,0.17952144842767756,5.592105757431579,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,20.0,21.0,20.5,6.8,Tertiary,SCPT,5.016549019607844,0.14196803921568635,0.7006274509803921,2.8299940588796306,241.8,5.226737254901962,0.0,13.7,33.81218603440891,32.81218603440891,686.3498137053826,134.397,551.9528137053826,0.12470972099049923,5.488110938180692,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,21.0,22.0,21.5,6.8,Tertiary,SCPT,6.585705882352942,0.18367392156862744,1.3304117647058824,2.788978506629033,230.6,6.984829411764706,0.0,14.7,34.829306825355275,33.829306825355275,742.0300967451384,144.207,597.8230967451384,0.1900116766291028,5.440684607834958,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,1.5,2.1,1.8,6.8,Quaternary,MASW,9.111419354838707,0.04763225806451613,0.0,0.522775389975005,226.75555205211197,9.111419354838707,5.0,0.0,30.012949934028022,29.012949934028022,197.28805955139055,0.0,197.28805955139055,0.0,5.423872574041073,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,2.1,4.0,3.05,6.8,Quaternary,MASW,8.919760416666671,0.07218677083333332,7.291666666666667e-05,0.8092904681436458,253.71468668717077,8.919782291666671,3.75,0.0,31.460911576793528,30.460911576793528,207.13419872219598,0.0,207.13419872219598,8.36905908385245e-06,5.536210354906699,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,4.0,5.0,4.5,6.8,Quaternary,MASW,22.12003921568628,0.1795603921568627,0.00023529411764705888,0.8117544024493801,309.832496723211,22.120109803921572,2.3,0.0,35.049901188168164,34.049901188168164,231.5393280795435,0.0,231.5393280795435,1.0749633828611522e-05,5.736031818295697,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,5.0,6.7,5.85,6.8,Quaternary,MASW,31.719023255813955,0.27506395348837226,0.003418604651162793,0.867189229851062,338.34076859735893,31.720048837209305,0.9500000000000002,0.0,36.71092994816081,35.71092994816081,242.8343236474935,0.0,242.8343236474935,0.00010860569157699461,5.824053578716136,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,6.7,7.8,7.25,6.8,Quaternary,MASW,14.434875000000003,0.18947071428571424,0.0544642857142857,1.3125899204926554,293.18947731215565,14.45121428571429,0.0,0.4500000000000002,35.07583094997274,34.07583094997274,247.49977438730238,4.414500000000002,243.08527438730238,0.0035237110457530434,5.680819080255764,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,7.8,9.0,8.4,6.8,Quaternary,MASW,28.764360655737708,0.09812786885245899,0.03421311475409833,0.341143924688224,160.45082839849806,28.77462459016394,0.0,1.6000000000000005,33.56683227231488,32.56683227231488,275.16139108744505,15.696000000000007,259.465391087445,0.0006497355625525732,5.077987530512298,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,9.0,11.5,10.25,6.8,Quaternary,MASW,8.191761904761908,0.15434507936507938,0.06288095238095227,1.8841499687064622,185.96619822180912,8.210626190476193,0.0,3.45,34.15872247192321,33.15872247192321,343.3269053372129,33.844500000000004,309.4824053372129,0.003690777651716008,5.2255649272080325,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,11.5,13.5,12.5,6.8,Tertiary,MASW,5.756762376237623,0.17799207920792082,0.06087128712871287,3.0918781699697133,257.62484692640925,5.775023762376238,0.0,5.7,34.41978986413407,33.41978986413407,423.44737330167584,55.917,367.5303733016758,0.0009257621994945691,5.551504445038333,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,13.5,15.5,14.5,6.8,Tertiary,MASW,7.016386138613864,0.2596622772277227,0.057554455445544536,3.7007979905595794,281.53442457121537,7.033652475247528,0.0,7.7,35.77747578217071,34.77747578217071,511.97339884147533,75.537,436.43639884147535,-0.002757348888802612,5.640254729876372,Hungaria krt,Hungaria krt__CPT4
