fold,n_rows,n_projects,n_cpt,n_masw,n_scpt,n_quaternary,n_tertiary,n_vs_ge_400,projects
1,389,1,19,389,0,137,252,132,Puskas
2,186,1,15,186,0,186,0,13,Budapart
3,164,1,10,164,0,97,67,0,Lang
4,108,1,7,83,25,65,43,3,Galeria
5,97,1,6,97,0,56,41,24,H6-H7
6,64,1,2,25,39,30,34,5,Hungaria krt
7,55,1,4,55,0,36,19,0,Balazs Bela u
8,43,1,3,43,0,34,9,7,Dunaterasz
9,39,1,3,39,0,32,7,10,River
10,31,1,2,0,31,11,20,4,Futo u
11,31,1,2,0,31,17,14,6,Bacso
12,30,1,2,30,0,26,4,0,Marina
13,28,1,2,28,0,23,5,2,Tömő u. 23
14,21,1,2,21,0,12,9,0,Paskal
15,18,1,1,0,18,10,8,9,Dévai 14
