group_project,n_rows,n_cpt,n_masw,n_scpt,n_quaternary,n_tertiary,n_vs_ge_400,vs_min_mps,vs_median_mps,vs_max_mps
Puskas,389,19,389,0,137,252,132,138.68254140664703,311.63967452618743,596.7310192112477
Budapart,186,15,186,0,186,0,13,153.52949138327185,242.03850172895096,580.7534828026721
Lang,164,10,164,0,97,67,0,158.0,270.0,360.0
Galeria,108,7,83,25,65,43,3,133.45529133277475,280.62897281249553,480.9
H6-H7,97,6,97,0,56,41,24,181.4,302.0,501.1
Hungaria krt,64,2,25,39,30,34,5,130.3,281.1172122856077,594.0
Balazs Bela u,55,4,55,0,36,19,0,160.22927084196056,225.09300694348687,335.72412127806666
Dunaterasz,43,3,43,0,34,9,7,140.1436187015576,256.3556830690226,485.3425983295048
River,39,3,39,0,32,7,10,115.33052569156412,276.7262155606347,773.4776656548057
Bacso,31,2,0,31,17,14,6,62.3,349.0,482.9
Futo u,31,2,0,31,11,20,4,170.0,319.0,481.0
Marina,30,2,30,0,26,4,0,152.4065336873562,249.46628274298132,355.3165664289617
Tömő u. 23,28,2,28,0,23,5,2,135.77595066181453,214.3349733623937,462.6168452811813
Paskal,21,2,21,0,12,9,0,157.3610543809992,211.45499754260985,284.8468157056311
Dévai 14,18,1,0,18,10,8,9,159.0,398.0,602.0
