subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.05319789090815,43.48999404381262,0.5964227050822979,-9.113159656218608
all,specialist_weighted_stack,59.3204832894873,42.14711799232113,0.6190050204865485,-3.3641126790838376
Quaternary,base_weighted_stack,53.60666972918489,36.812390363177755,0.44830571733917546,-4.041486246821526
Quaternary,specialist_weighted_stack,52.53406602176687,36.61188640815686,0.47016229775150864,-1.2126336436741783
Tertiary,base_weighted_stack,70.47334197041313,53.18005051270382,0.4300246131947918,-16.47280603226099
Tertiary,specialist_weighted_stack,67.97395634526058,50.17944653174747,0.46973682909916115,-6.486183760542966
MASW,base_weighted_stack,56.874702202699844,40.540172196502546,0.6404923166361194,-6.8065358520980865
MASW,specialist_weighted_stack,55.995163039376635,39.584613137159835,0.6515255573602738,-1.592333333133834
SCPT,base_weighted_stack,87.73231088167582,67.25244781381048,0.28142751061584637,-27.69429585607834
SCPT,specialist_weighted_stack,81.28908157273774,62.78951821445379,0.38309842078735756,-17.636779632569972
vs_ge_400,base_weighted_stack,116.66470153977629,95.2004744432791,-2.387003081540282,-86.11695692055793
vs_ge_400,specialist_weighted_stack,106.68820491290187,82.09009858717451,-1.832497002858147,-63.154547715793434
vs_lt_400,base_weighted_stack,42.1458455389656,33.28085420369757,0.4408221722405503,6.089610235271708
vs_lt_400,specialist_weighted_stack,44.3446424859499,34.261221915283954,0.3809542931030785,8.440243182158184
