subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,66.09254300322333,47.355891668495275,0.5270504503866087,-9.307533276429293
all,specialist_weighted_stack,65.17320428369617,46.6594507448033,0.5401162760323663,-5.24905642720352
Quaternary,base_weighted_stack,55.48486583359058,37.293752536136715,0.40896947979946585,-5.0708409042521625
Quaternary,specialist_weighted_stack,55.432143551735194,37.443185297177585,0.4100921525392257,-4.176085250238421
Tertiary,base_weighted_stack,78.99162549540426,61.957341687632116,0.2839085807599573,-15.45551544056603
Tertiary,specialist_weighted_stack,77.1515804893285,60.03342992820004,0.3168815384892937,-6.806074751671671
MASW,base_weighted_stack,61.079438180549836,43.73604534131977,0.5853707152690255,-8.570548518754471
MASW,specialist_weighted_stack,59.74280484180316,42.722356724269396,0.6033192536618637,-5.022488736927678
SCPT,base_weighted_stack,97.48771284334684,76.51576485963119,0.11273936942606655,-15.244354935476487
SCPT,specialist_weighted_stack,98.54939337529004,78.37493035465981,0.09330888692253236,-7.074185043314474
vs_ge_400,base_weighted_stack,123.4788707576622,103.5153346986208,-2.7942150408174062,-100.57191682286562
vs_ge_400,specialist_weighted_stack,115.36876145751947,92.40692273302194,-2.3121736945871123,-86.19343187108721
vs_lt_400,base_weighted_stack,47.121481361542344,36.268398324622915,0.30099823847157026,8.71068753393233
vs_lt_400,specialist_weighted_stack,49.58191799688525,37.62758070121561,0.22609608119437308,10.731697218742298
