fold,model,rmse_mps,mae_mps,r2,bias_mps
1,empirical_baseline,68.64103150123071,52.01470950277883,0.5509152472718772,-39.379897537612855
1,random_forest_profile,55.3934143640421,42.31894852118337,0.7075329273956149,-16.801465828504664
1,extra_trees_profile,55.57812119899021,42.77917610449018,0.7055792391218548,-24.04241844690182
2,empirical_baseline,70.40140153625623,47.7983944810084,0.45798131236314554,-11.000659346522012
2,random_forest_profile,71.28943632017325,48.843030600194396,0.44422115515069427,-10.580491843619255
2,extra_trees_profile,70.87876879419792,47.95420103631111,0.45060591390855564,-10.098057902049097
3,empirical_baseline,48.46568677820551,38.410352490255576,0.365674831471958,4.235727786990774
3,random_forest_profile,54.726208696744166,39.640834044381464,0.19121344030083387,15.897846612314037
3,extra_trees_profile,52.22847579137711,37.99171568811489,0.26335557802814735,15.480631252573625
4,empirical_baseline,74.54940204976197,48.631096577340145,0.43552456908557513,-6.219250194656681
4,random_forest_profile,69.67588726116712,45.08816554443908,0.5069150688265298,-7.769961974675253
4,extra_trees_profile,70.35941932062279,46.04826458929139,0.49719312403536897,-7.610466477585629
5,empirical_baseline,55.851054362823454,41.71844781789074,0.5888969676077658,-13.919250541102858
5,random_forest_profile,60.42286747606522,44.871241651045274,0.5188388090365852,1.4290104353917266
5,extra_trees_profile,59.27266466607315,45.39400635172318,0.5369831121299531,-3.5234992495891078
0,base_weighted_stack,61.05319789090813,43.48999404381262,0.5964227050822983,-9.11315965621861
0,specialist_weighted_stack,59.32048328948727,42.147117992321135,0.6190050204865487,-3.364112679083841
