subset,model,rmse_mps,mae_mps,r2,bias_mps
all,base_weighted_stack,61.05319789090813,43.48999404381262,0.5964227050822983,-9.11315965621861
all,specialist_weighted_stack,59.32048328948727,42.147117992321135,0.6190050204865487,-3.364112679083841
Quaternary,base_weighted_stack,53.60666972918491,36.81239036317778,0.4483057173391749,-4.041486246821538
Quaternary,specialist_weighted_stack,52.534066021766876,36.61188640815687,0.47016229775150853,-1.2126336436741836
Tertiary,base_weighted_stack,70.47334197041307,53.18005051270379,0.4300246131947927,-16.472806032260976
Tertiary,specialist_weighted_stack,67.97395634526053,50.179446531747466,0.4697368290991618,-6.486183760542968
MASW,base_weighted_stack,56.87470220269982,40.540172196502546,0.6404923166361196,-6.806535852098088
MASW,specialist_weighted_stack,55.99516303937662,39.58461313715984,0.6515255573602741,-1.5923333331338412
SCPT,base_weighted_stack,87.73231088167582,67.25244781381045,0.28142751061584637,-27.694295856078355
SCPT,specialist_weighted_stack,81.28908157273771,62.78951821445374,0.383098420787358,-17.636779632569944
vs_ge_400,base_weighted_stack,116.66470153977622,95.20047444327909,-2.3870030815402785,-86.11695692055793
vs_ge_400,specialist_weighted_stack,106.68820491290181,82.09009858717452,-1.832497002858144,-63.15454771579349
vs_lt_400,base_weighted_stack,42.14584553896559,33.28085420369757,0.44082217224055065,6.089610235271706
vs_lt_400,specialist_weighted_stack,44.3446424859499,34.261221915283954,0.3809542931030785,8.440243182158191
