feature,importance
gamma_unsat_kn_m3,0.054394517163422
gamma_sat_kn_m3,0.0437115372264757
sigma_eff_kpa,0.04205561481161931
log_fs_mpa,0.038974131190786514
log_sigma_v_kpa,0.037665783121556065
sigma_v_kpa,0.03653749214077015
log_sigma_eff_kpa_roll5,0.035270874515710426
log_sigma_eff_kpa,0.034123114316976316
log_fs_mpa_roll5,0.03390999719825014
log_fs_mpa_roll3,0.0338111688821385
z_bot_m,0.0332579263180981
z_top_m,0.03322223361390294
fs_mpa,0.031093090016993112
log_z_mid_m,0.031053626913003184
log_sigma_eff_kpa_roll3,0.030578220194526037
z_mid_m,0.030308651690678125
geo_age,0.025878491059673832
u0_kpa,0.024500561266758203
z_below_gwl_m,0.023048298583197686
below_gwl_ratio,0.019903057311743726
age_method,0.019616152760760487
log_qc_mpa_roll3,0.01899763021799548
log_qt_mpa_roll3,0.01878692940580212
log_qc_mpa,0.01792033820799542
log_qt_mpa,0.01773505613894735
qt_mpa,0.01767409954876816
depth_over_gwl,0.01675972806120983
z_rel_minmax,0.01675187454385378
qc_mpa,0.015748583163089924
log_qc_mpa_roll5,0.01518472025183998
depth_rank_pct,0.014940178934614664
test_method,0.014054108352379361
log_qt_mpa_roll5,0.01399337960936229
log_gwl_m,0.008678451726891755
gwl_m,0.008321767662139254
qc_over_sigma_eff,0.0064507348846663225
qt_over_sigma_eff,0.006100490457790095
log_rf_pct_roll3,0.006082284793341672
log_sigma_eff_kpa_local_resid_w3,0.0052921465486153564
log_rf_pct_roll5,0.005063846363878844
log_u2_mpa,0.005057207964817564
fs_over_qt,0.00493179749267132
log_rf_pct,0.004861867469967068
rf_pct,0.004503441178023037
u2_mpa,0.004489285754841065
log_fs_mpa_local_resid_w3,0.004396606276328152
log_qc_mpa_local_resid_w3,0.004027856972021661
log_qt_mpa_local_resid_w3,0.0038085462793374237
bq,0.003579801767210434
log_qc_mpa_diff1,0.0034048563968194275
log_sigma_eff_kpa_diff1,0.0033858352626321307
log_qt_mpa_diff1,0.0033532352762579588
z_above_gwl_m,0.003307387869084395
log_rf_pct_diff1,0.0032583069652833948
log_rf_pct_local_resid_w3,0.003104323722955764
log_fs_mpa_diff1,0.0030787541815270425
