fold,project,nominal,half_width,n,row_coverage,whole_project_covered,mean_width
1,Futo u,90,331.64566139208955,31,1.0,True,619.3252652478312
1,Lang,90,331.64566139208955,164,1.0,True,602.0146121289049
1,Puskas,90,331.64566139208955,389,1.0,True,617.9856262316846
1,Futo u,80,297.05733650425293,31,1.0,True,568.9385986597408
1,Lang,80,297.05733650425293,164,1.0,True,554.6826503868284
1,Puskas,80,297.05733650425293,389,1.0,True,566.4524163301344
2,Dévai 14,90,421.70258008757776,18,1.0,True,706.7647282553611
2,H6-H7,90,421.70258008757776,97,1.0,True,712.8811494306486
2,Hungaria krt,90,421.70258008757776,64,1.0,True,688.8570642233498
2,Dévai 14,80,284.4683794081609,18,1.0,True,543.70629047736
2,H6-H7,80,284.4683794081609,97,1.0,True,546.4665788642769
2,Hungaria krt,80,284.4683794081609,64,0.984375,False,545.1495749302492
3,Budapart,90,418.18996584714597,186,1.0,True,679.678287907269
3,Marina,90,418.18996584714597,30,1.0,True,668.574983588565
3,Paskal,90,418.18996584714597,21,1.0,True,670.2252559077477
3,Budapart,80,277.64848858821466,186,0.9946236559139785,False,533.3966690657688
3,Marina,80,277.64848858821466,30,1.0,True,516.3168991177013
3,Paskal,80,277.64848858821466,21,1.0,True,525.5120321000464
4,Balazs Bela u,90,274.9300356105621,55,1.0,True,519.7899911134481
4,Galeria,90,274.9300356105621,108,1.0,True,541.6007754744943
4,Tömő u. 23,90,274.9300356105621,28,1.0,True,519.5371773837765
4,Balazs Bela u,80,271.42713542881506,55,1.0,True,515.5228218011382
4,Galeria,80,271.42713542881506,108,1.0,True,535.517623600202
4,Tömő u. 23,80,271.42713542881506,28,1.0,True,515.0334485786731
5,Bacso,90,315.2081284083516,31,1.0,True,584.2637219487916
5,Dunaterasz,90,315.2081284083516,43,1.0,True,575.721242714017
5,River,90,315.2081284083516,39,1.0,True,574.8903919065085
5,Bacso,80,279.37262711826685,31,1.0,True,537.0568479487952
5,Dunaterasz,80,279.37262711826685,43,1.0,True,529.3127412992395
5,River,80,279.37262711826685,39,0.9743589743589743,False,527.6681605311177
