column,missing,missing_pct,nonpositive
project,0,0.0,
cpt_id,0,0.0,
z_top_m,0,0.0,0.0
z_bot_m,0,0.0,0.0
z_mid_m,0,0.0,0.0
gwl_m,0,0.0,0.0
geo_age,0,0.0,
test_method,0,0.0,
qc_mpa,0,0.0,0.0
fs_mpa,0,0.0,0.0
u2_mpa,0,0.0,14.0
rf_pct,0,0.0,0.0
vs_meas_mps,0,0.0,0.0
qt_mpa,0,0.0,0.0
z_above_gwl_m,0,0.0,1064.0
z_below_gwl_m,0,0.0,246.0
gamma_sat_kn_m3,0,0.0,0.0
gamma_unsat_kn_m3,0,0.0,0.0
sigma_v_kpa,0,0.0,0.0
u0_kpa,0,0.0,246.0
sigma_eff_kpa,0,0.0,0.0
bq,0,0.0,650.0
log_vs_meas,0,0.0,0.0
group_project,0,0.0,
group_cpt,0,0.0,
row_id,0,0.0,1.0
