project,model,n,rmse_mps,mae_mps,r2,bias_mps
Bacso,empirical,31,76.69453821865692,65.1337628656694,0.34909023895596447,-39.92962422100378
Bacso,rf,31,82.12669622502018,68.86307587530088,0.2536189311733231,-42.63825697978308
Bacso,et,31,83.41175572451688,70.44983587435301,0.2300785204250776,-40.91911737600049
Bacso,base_stack,31,81.88363610934381,69.15322394016566,0.25803033503862793,-40.79553685745814
Bacso,specialist_stack,31,81.6088819005011,68.89307540455103,0.263001224972518,-40.10616002083676
Balazs Bela u,empirical,55,37.14039413785134,30.265747142097386,0.4252991046757424,19.268606086508033
Balazs Bela u,rf,55,37.16925495242997,30.83345413892362,0.42440558802014183,19.50877891557015
Balazs Bela u,et,55,38.04700684861665,31.468131245189607,0.3968992751150827,20.746168517471038
Balazs Bela u,base_stack,55,36.491153068592155,29.82311314401181,0.4452158682472942,19.298719689471277
Balazs Bela u,specialist_stack,55,36.491153068592155,29.82311314401181,0.4452158682472942,19.298719689471277
Budapart,empirical,186,61.046625181676724,39.91683599298859,0.4013293439095157,-2.111008532739237
Budapart,rf,186,63.45841451020238,41.81760046190287,0.3530911596663042,-0.318605368219159
Budapart,et,186,63.32216337915693,42.441972497775716,0.3558661245704141,0.7569559036705754
Budapart,base_stack,186,62.70097179717773,41.78323362238042,0.36844206562706416,0.1428194872643397
Budapart,specialist_stack,186,59.5525553791546,40.5606742537234,0.4302747666455198,1.3653788559213595
Dunaterasz,empirical,43,42.726562953642116,32.02225246966167,0.7720186360572173,-7.822083686427816
Dunaterasz,rf,43,58.778167302392475,42.19633652319142,0.5685449940191127,15.761948594936117
Dunaterasz,et,43,52.32151717473197,38.30142523604689,0.6581275624500107,10.376156282012628
Dunaterasz,base_stack,43,42.85289942752335,32.74788267853405,0.7706684247640232,4.761281875970508
Dunaterasz,specialist_stack,43,43.176868446414545,32.98595901622005,0.7671878123672301,4.569725976137885
Dévai 14,empirical,18,138.29526697697625,115.108135789264,0.20120087562849953,-99.20173246484475
Dévai 14,rf,18,132.17172556750384,113.08309940530336,0.2703743957889474,-100.2023531628147
Dévai 14,et,18,139.0245765131713,119.0080526614893,0.19275361712406425,-105.1419644206859
Dévai 14,base_stack,18,138.7863824831074,118.27737025763128,0.19551739535712187,-104.0180531745081
Dévai 14,specialist_stack,18,126.799630275746,109.72429235605438,0.3284800485293473,-95.4649752729312
Futo u,empirical,31,69.0329923201142,55.48557904579834,0.20547174301682225,-6.067423716574395
Futo u,rf,31,64.99139903274727,52.30063393605078,0.29578102738030443,-7.482939363847069
Futo u,et,31,65.90861215704776,52.937252182037064,0.2757637091435623,-9.058304320495745
