fold,model,n,rmse_mps,mae_mps,r2,bias_mps
1,empirical,389,60.13094089970291,47.74181578024894,0.6553671220273567,-38.50778186721319
1,rf,389,55.89181890769657,43.4848100319001,0.7022462812669532,-12.098921187911
1,et,389,55.02253759043973,42.481724936808824,0.7114361396177773,-17.553678988175687
1,base_stack,389,54.84010760043438,43.34682251069985,0.7133464634488458,-29.924809907803073
1,specialist_stack,389,53.42698203689926,42.232945449517246,0.7279291628339627,-28.14056719258713
2,empirical,235,72.04515417925232,49.00265782016332,0.46534842855152736,-14.536583499182214
2,rf,235,73.25465054301091,50.446547433982445,0.44724624788122935,-14.080260443932547
2,et,235,74.08009203231013,51.653911706145244,0.4347190839641738,-13.728793460475034
2,base_stack,235,73.25748210950836,50.589753592147964,0.4472035150514675,-14.046429574417813
2,specialist_stack,235,69.97163823772459,49.11570776774077,0.49568094037454824,-12.54282825309162
3,empirical,225,47.43927546184098,37.41294298918521,0.2678290308472516,12.221288266409118
3,rf,225,55.282725676780146,40.17709365067969,0.0057048865724630415,23.954996646605892
3,et,225,52.59878050595592,38.26592348881292,0.09990622011456007,22.743187763636524
3,base_stack,225,49.95714738353666,37.664614521211526,0.18804553690837522,17.774495731091154
3,specialist_stack,225,52.43204174103247,39.04840442157316,0.10560379124452923,19.249659119561077
4,empirical,230,73.11118827338768,46.55745953409926,0.45709430161637843,-7.201187613533559
4,rf,230,69.69230891806734,45.50168908337342,0.5066826146421914,-6.326132859938789
4,et,230,70.40623256067718,46.178631159355426,0.49652382205259227,-6.7943003141215605
4,base_stack,230,70.76943648723584,45.55383563005153,0.4913158684727106,-6.991794473144255
4,specialist_stack,230,71.08396365290372,46.125494753509024,0.4867842365614291,-6.096155890281648
5,empirical,225,54.51939216981706,41.08874654381072,0.6082671984952448,-9.033686279751945
5,rf,225,64.36715376112252,46.99939714829898,0.4539699564719859,2.8091133208414116
5,et,225,61.60224670420982,45.78436248366333,0.4998721592546326,-0.24017619866071174
5,base_stack,225,57.11519787877764,43.21415536972621,0.5700763864344818,-2.3730417151599177
5,specialist_stack,225,58.228733111602104,43.94294016815361,0.5531491274421227,-1.105409653906019
