fold,threshold,cap,inner_rmse,specialist_weights
1,325.0,0.5,62.33223889792466,"(0.0, 0.0, 0.15)"
1,325.0,0.65,62.33223889792466,"(0.0, 0.0, 0.15)"
1,325.0,0.8,62.33223889792466,"(0.0, 0.0, 0.15)"
1,350.0,0.5,62.38817480958528,"(0.0, 0.0, 0.25)"
1,350.0,0.65,62.38817480958528,"(0.0, 0.0, 0.25)"
1,350.0,0.8,62.38817480958528,"(0.0, 0.0, 0.25)"
1,375.0,0.5,62.42753632215362,"(0.0, 0.0, 0.0)"
1,375.0,0.65,62.42753632215362,"(0.0, 0.0, 0.0)"
1,375.0,0.8,62.42753632215362,"(0.0, 0.0, 0.0)"
2,325.0,0.5,59.396663876720815,"(0.3, 0.0, 0.5)"
2,325.0,0.65,59.345814744540014,"(0.25, 0.0, 0.65)"
2,325.0,0.8,59.345814744540014,"(0.25, 0.0, 0.65)"
2,350.0,0.5,58.606507538587245,"(0.45, 0.0, 0.5)"
2,350.0,0.65,58.24707537076798,"(0.45, 0.0, 0.65)"
2,350.0,0.8,57.981149005252426,"(0.45, 0.0, 0.8)"
2,375.0,0.5,60.0473519088648,"(0.45, 0.0, 0.5)"
2,375.0,0.65,60.04734945108073,"(0.45, 0.0, 0.55)"
2,375.0,0.8,60.04734945108073,"(0.45, 0.0, 0.55)"
3,325.0,0.5,57.97836361417905,"(0.0, 0.0, 0.2)"
3,325.0,0.65,57.97836361417905,"(0.0, 0.0, 0.2)"
3,325.0,0.8,57.97836361417905,"(0.0, 0.0, 0.2)"
3,350.0,0.5,57.90963056913934,"(0.0, 0.0, 0.25)"
3,350.0,0.65,57.90963056913934,"(0.0, 0.0, 0.25)"
3,350.0,0.8,57.90963056913934,"(0.0, 0.0, 0.25)"
3,375.0,0.5,57.84086139451385,"(0.0, 0.0, 0.3)"
3,375.0,0.65,57.84086139451385,"(0.0, 0.0, 0.3)"
3,375.0,0.8,57.84086139451385,"(0.0, 0.0, 0.3)"
4,325.0,0.5,56.774382718125395,"(0.0, 0.0, 0.2)"
4,325.0,0.65,56.774382718125395,"(0.0, 0.0, 0.2)"
4,325.0,0.8,56.774382718125395,"(0.0, 0.0, 0.2)"
4,350.0,0.5,56.2012819193676,"(0.0, 0.0, 0.35)"
4,350.0,0.65,56.2012819193676,"(0.0, 0.0, 0.35)"
4,350.0,0.8,56.2012819193676,"(0.0, 0.0, 0.35)"
4,375.0,0.5,56.28176571340833,"(0.0, 0.0, 0.35)"
4,375.0,0.65,56.28176571340833,"(0.0, 0.0, 0.35)"
4,375.0,0.8,56.28176571340833,"(0.0, 0.0, 0.35)"
5,325.0,0.5,66.67695263325898,"(0.35, 0.0, 0.0)"
5,325.0,0.65,66.67695263325898,"(0.35, 0.0, 0.0)"
5,325.0,0.8,66.67695263325898,"(0.35, 0.0, 0.0)"
5,350.0,0.5,66.67695263325898,"(0.35, 0.0, 0.0)"
5,350.0,0.65,66.67695263325898,"(0.35, 0.0, 0.0)"
5,350.0,0.8,66.67695263325898,"(0.35, 0.0, 0.0)"
5,375.0,0.5,66.67695263325898,"(0.35, 0.0, 0.0)"
5,375.0,0.65,66.67695263325898,"(0.35, 0.0, 0.0)"
5,375.0,0.8,66.67695263325898,"(0.35, 0.0, 0.0)"
