fold,model,n,rmse_mps,mae_mps,r2,bias_mps
1,empirical,389,60.13094089970291,47.74181578024894,0.6553671220273567,-38.50778186721319
1,rf,389,56.165276728164834,43.2917204048424,0.6993255579503044,-15.817379692620587
1,et,389,56.64338135306877,43.57414450450491,0.6941848126679295,-24.124034035757767
1,base_stack,389,55.54452228860049,43.800475143303686,0.7059351067349896,-30.468449406410347
1,specialist_stack,389,52.16396657127809,41.10675547077359,0.7406406413491722,-24.48757194358861
2,empirical,235,72.04515417925232,49.00265782016332,0.46534842855152736,-14.536583499182214
2,rf,235,72.55962577641077,50.087484465937884,0.45768531343420205,-12.893317715675389
2,et,235,73.36723842764081,50.29637657156249,0.44554584525442775,-12.827512622172632
2,base_stack,235,73.23446269680568,50.1715349880523,0.4475508666335798,-12.931342349371958
2,specialist_stack,235,69.34308728004454,48.562319926393535,0.504700779952753,-9.73907325268243
3,empirical,225,47.43927546184098,37.41294298918521,0.2678290308472516,12.221288266409118
3,rf,225,53.30024682925103,38.574667135389575,0.07573852646986623,24.13588429631486
3,et,225,49.791541224246295,36.02839070167243,0.19341981444058698,22.69136609425921
3,base_stack,225,49.342060078916454,36.912437603303665,0.20791650178137178,18.52338180913977
3,specialist_stack,225,52.083464968714466,38.28917758488979,0.11745644464218241,22.257233848128948
4,empirical,230,73.11118827338768,46.55745953409926,0.45709430161637843,-7.201187613533559
4,rf,230,69.95903489458902,45.14653416936663,0.502899346285918,-6.135457028222382
4,et,230,70.53555634530743,46.17091313114451,0.4946725301560797,-6.188144401308415
4,base_stack,230,70.60906046005292,45.13809351284453,0.49361879205034465,-6.816109367090016
4,specialist_stack,230,68.59081577801884,45.03891515412308,0.5221532338375334,-3.847759280316593
5,empirical,225,54.51939216981706,41.08874654381072,0.6082671984952448,-9.033686279751945
5,rf,225,61.995761199171646,45.198227689928025,0.4934621282083492,2.333226318859047
5,et,225,60.84431341011153,46.356512152331845,0.5121032588294809,-3.383212404094366
5,base_stack,225,55.18164909339007,42.06541726307101,0.5986924982803187,-2.696038089084843
5,specialist_stack,225,55.74334653745196,42.602828493891785,0.5904810493572765,-1.8277917176765515
