fold,threshold,cap,inner_rmse,specialist_weights
1,325.0,0.5,60.90586483832271,"(0.0, 0.5, 0.1)"
1,325.0,0.65,60.85229555869227,"(0.0, 0.65, 0.1)"
1,325.0,0.8,60.85229555869227,"(0.0, 0.65, 0.1)"
1,350.0,0.5,60.82293181797124,"(0.05, 0.5, 0.4)"
1,350.0,0.65,60.752788336570006,"(0.05, 0.65, 0.45)"
1,350.0,0.8,60.752788336570006,"(0.05, 0.65, 0.45)"
1,375.0,0.5,60.94195012163416,"(0.0, 0.5, 0.0)"
1,375.0,0.65,60.894877049518904,"(0.0, 0.65, 0.0)"
1,375.0,0.8,60.894877049518904,"(0.0, 0.65, 0.0)"
2,325.0,0.5,57.84752044962916,"(0.0, 0.5, 0.5)"
2,325.0,0.65,57.566510072214555,"(0.0, 0.65, 0.65)"
2,325.0,0.8,57.414235227194865,"(0.0, 0.8, 0.8)"
2,350.0,0.5,57.78323730600137,"(0.0, 0.5, 0.5)"
2,350.0,0.65,57.42667043334292,"(0.0, 0.65, 0.65)"
2,350.0,0.8,57.174859352319885,"(0.0, 0.8, 0.8)"
2,375.0,0.5,59.060388347259014,"(0.0, 0.5, 0.5)"
2,375.0,0.65,59.01285080110832,"(0.0, 0.65, 0.6)"
2,375.0,0.8,58.979532741130164,"(0.0, 0.8, 0.6)"
3,325.0,0.5,57.150823125727804,"(0.0, 0.5, 0.2)"
3,325.0,0.65,57.150823125727804,"(0.0, 0.5, 0.2)"
3,325.0,0.8,57.150823125727804,"(0.0, 0.5, 0.2)"
3,350.0,0.5,57.046908815271784,"(0.0, 0.5, 0.3)"
3,350.0,0.65,57.04551747010191,"(0.0, 0.55, 0.3)"
3,350.0,0.8,57.04551747010191,"(0.0, 0.55, 0.3)"
3,375.0,0.5,56.80653624481422,"(0.0, 0.5, 0.45)"
3,375.0,0.65,56.797782936103616,"(0.0, 0.55, 0.45)"
3,375.0,0.8,56.797782936103616,"(0.0, 0.55, 0.45)"
4,325.0,0.5,56.41188584747285,"(0.1, 0.5, 0.1)"
4,325.0,0.65,56.287999657711616,"(0.1, 0.65, 0.1)"
4,325.0,0.8,56.18499335700016,"(0.1, 0.8, 0.15)"
4,350.0,0.5,55.775181294477484,"(0.0, 0.5, 0.4)"
4,350.0,0.65,55.655985445378185,"(0.0, 0.65, 0.4)"
4,350.0,0.8,55.55779902922477,"(0.0, 0.8, 0.4)"
4,375.0,0.5,55.61180997043737,"(0.0, 0.5, 0.5)"
4,375.0,0.65,55.49303980153244,"(0.0, 0.65, 0.5)"
4,375.0,0.8,55.396361036470765,"(0.0, 0.8, 0.5)"
5,325.0,0.5,67.49654890299104,"(0.4, 0.15, 0.0)"
5,325.0,0.65,67.49654890299104,"(0.4, 0.15, 0.0)"
5,325.0,0.8,67.49654890299104,"(0.4, 0.15, 0.0)"
5,350.0,0.5,67.49654890299104,"(0.4, 0.15, 0.0)"
5,350.0,0.65,67.49654890299104,"(0.4, 0.15, 0.0)"
5,350.0,0.8,67.49654890299104,"(0.4, 0.15, 0.0)"
5,375.0,0.5,67.49654890299104,"(0.4, 0.15, 0.0)"
5,375.0,0.65,67.49654890299104,"(0.4, 0.15, 0.0)"
5,375.0,0.8,67.49654890299104,"(0.4, 0.15, 0.0)"
