omitted_project,baseline_rmse,stack_rmse,delta_rmse
Bacso,61.71476996758485,59.96246408586208,-1.7523058817227692
Balazs Bela u,62.98529804867233,61.40988343536022,-1.5754146133121054
Budapart,62.28842995738544,60.65861082230808,-1.629819135077362
Dunaterasz,62.66824149482923,61.06480771445765,-1.6034337803715815
Dévai 14,60.36806880042469,59.10987568804609,-1.2581931123785992
Futo u,61.93465678633801,60.404918472807665,-1.5297383135303448
Galeria,62.56758905084697,60.963327095227754,-1.604261955619215
H6-H7,63.60821488950393,61.43972810218465,-2.1684867873192744
Hungaria krt,61.04863678880047,59.369927442604,-1.6787093461964702
Lang,64.17562111765318,61.77606243397959,-2.3995586836735896
Marina,62.69673209591503,61.01400963915739,-1.682722456757638
Paskal,62.40998839443398,60.85750401149294,-1.5524843829410386
Puskas,62.93648513537815,63.31132270278401,0.37483756740586216
River,58.319020887548135,57.15328892005142,-1.1657319674967113
Tömő u. 23,62.3129125009924,60.70981109739452,-1.6031014035978757
