model,rmse_mps,mae_mps,r2,bias_mps,setting
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244,deployable_42
rf,63.29366233214271,45.24539203115856,0.5662591330036455,-2.2171877822319663,deployable_42
et,62.46632602370726,44.545864951406415,0.5775242177781175,-5.06719947530873,deployable_42
base_stack,61.340111578532536,44.12395977770317,0.5926206462116731,-9.718203939106186,deployable_42
specialist_stack,60.56303676757607,43.81784416770233,0.6028768737017849,-8.547147707246785,deployable_42
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244,deployable_43
rf,63.2439491942768,45.048502196988295,0.5669402170393352,-2.6526580538420155,deployable_43
et,62.74052398390528,44.86158103043146,0.5738071352727782,-5.4327979114685725,deployable_43
base_stack,61.47383741755002,44.30292026365661,0.590842477684708,-10.427732585123437,deployable_43
specialist_stack,60.52069816441957,43.90187148589287,0.6034319238538043,-8.858823632044286,deployable_43
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244,deployable_44
rf,63.22870615840186,45.130850205783055,0.5671489437361577,-2.644499510377152,deployable_44
et,62.43883969679357,44.62918693391232,0.5778959301354261,-5.026195597960411,deployable_44
base_stack,61.1651252641795,44.03804560674069,0.5949416114174046,-10.034085566995577,deployable_44
specialist_stack,60.699858374785215,43.90546275404669,0.6010805172748996,-8.599620400602236,deployable_44
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244,retrospective_42
rf,62.543125381481424,44.46441768878125,0.5764847516805363,-3.437346836693481,retrospective_42
et,62.23560002797672,44.46058036472892,0.5806393722135152,-7.468069061486371,retrospective_42
base_stack,61.12984024458866,43.827754111677095,0.5954088178713612,-10.208892766649887,retrospective_42
specialist_stack,59.47422416288022,43.01270732828108,0.617027612299293,-6.005342723439577,retrospective_42
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244,retrospective_43
rf,62.39572839193509,44.34578935286637,0.578478617931985,-3.8577859723652073,retrospective_43
et,61.97658408915916,44.2098889024885,0.584122750013643,-7.192588106668556,retrospective_43
base_stack,60.94355591252845,43.76459530677562,0.5978709267127315,-10.17812132895158,retrospective_43
specialist_stack,59.07736631161957,42.71886216070179,0.6221215338592075,-5.00010101334082,retrospective_43
empirical,62.11281946174298,44.82997451228691,0.5822923986271034,-14.827213936172244,retrospective_44
rf,62.50175431693027,44.358621381618015,0.5770448606158484,-3.5571285212347727,retrospective_44
et,62.21949137516736,44.42170542092315,0.5808564332042894,-7.268139062986339,retrospective_44
base_stack,60.92419507407254,43.696682826553655,0.5981263866783855,-9.890832123170531,retrospective_44
specialist_stack,59.26487074576803,42.91589333896286,0.619719045960782,-6.213733018065465,retrospective_44
