subset,model,n,rmse,bias
All,empirical,1304,62.11281946174298,-14.827213936172244
All,rf,1304,63.29366233214271,-2.2171877822319637
All,et,1304,62.46632602370725,-5.06719947530873
All,base_stack,1304,61.34011157853253,-9.718203939106184
All,specialist_stack,1304,60.56303676757607,-8.547147707246785
Quaternary,empirical,772,55.57690889446821,-10.63888181959016
Quaternary,rf,772,55.933393140530875,-0.4021632166308009
Quaternary,et,772,55.4114380410687,-2.425319238059053
Quaternary,base_stack,772,54.924529666306896,-6.089203765477857
Quaternary,specialist_stack,772,54.044079679276265,-5.782073743251376
Tertiary,empirical,532,70.5281766595169,-20.90501918805452
Tertiary,rf,532,72.66027164455465,-4.851020422540416
Tertiary,et,532,71.47601491777954,-8.900905383498108
Tertiary,base_stack,532,69.60612949095453,-14.984347048205937
Tertiary,specialist_stack,532,68.93508834600865,-12.559623459510801
Surface-wave,empirical,1160,57.512090292842046,-13.172221999797149
Surface-wave,rf,1160,59.323081049321175,0.8504585550239171
Surface-wave,et,1160,57.98859522188863,-2.053294291027638
Surface-wave,base_stack,1160,56.61449817052309,-7.462079431459329
Surface-wave,specialist_stack,1160,56.070260934754245,-6.326650549324031
SCPT,empirical,144,91.0575229773439,-28.159093423638282
SCPT,rf,144,89.03939254589832,-26.928783276793226
SCPT,et,144,90.81257777317084,-29.345880126461964
SCPT,base_stack,144,90.84514007993316,-27.892540250705856
SCPT,specialist_stack,144,88.82033003078573,-26.43448592384675
Vs >= 400,empirical,215,118.90035854746085,-92.49980654866674
Vs >= 400,rf,215,115.57102439828233,-68.12962373800751
Vs >= 400,et,215,115.72413493365502,-74.70739669080369
Vs >= 400,base_stack,215,115.36351497278287,-82.99234114025515
Vs >= 400,specialist_stack,215,111.43097380799881,-78.58635436506842
Vs < 400,empirical,1089,42.761823252030595,0.5075954409501767
Vs < 400,rf,1089,46.47595909140927,10.795827580937681
Vs < 400,et,1089,45.038157561611534,8.681783446024069
Vs < 400,base_stack,1089,43.33506338973322,4.74822351566611
Vs < 400,specialist_stack,1089,44.05201930977048,5.28061118295675
