bin,model,n,projects,mean_measured,bias,rmse,low,high
"[0, 200)",empirical,154,15,176.69126966331413,27.6987657473076,42.80563649665412,14.480738378763618,41.49152288702033
"[0, 200)",specialist_stack,154,15,176.69126966331413,30.64586010424734,42.788750305946756,19.514132072942033,41.931920723002754
"[200, 250)",empirical,301,15,226.86670017879067,11.607259762012234,35.11564820124309,0.2844943937793106,22.489984489612777
"[200, 250)",specialist_stack,301,15,226.86670017879067,15.41072602594371,35.7684072363379,5.293914644079309,26.33434023142847
"[250, 300)",empirical,362,14,275.1222571300784,-0.23147092539183634,37.670288101621196,-14.774726704668561,14.195585244280286
"[250, 300)",specialist_stack,362,14,275.1222571300784,4.027004162369436,38.52986493649342,-7.452709335016881,16.414434152273543
"[300, 350)",empirical,187,14,319.749952448607,-15.993047297236133,49.86555530349855,-35.206801123840584,15.824896792455215
"[300, 350)",specialist_stack,187,14,319.749952448607,-9.115753715178963,52.83917837079327,-29.65036693548404,25.352780495329654
"[350, 400)",empirical,85,11,372.0228954061989,-48.61331010213304,65.01471213803967,-62.33336403857981,-27.53041660515162
"[350, 400)",specialist_stack,85,11,372.0228954061989,-39.53688204308843,67.452519747099,-57.240210704009996,-15.340685543745954
"[400, 500)",empirical,173,11,445.730977027998,-74.28332582065897,94.16997182516886,-139.23575971218315,-61.66885814787813
"[400, 500)",specialist_stack,173,11,445.730977027998,-59.926157880362645,89.4559422490131,-139.68046880754866,-42.41026958187253
"[500, 1000)",empirical,42,6,572.2953178877609,-167.53435811879402,189.31941513641664,-266.6246407855743,-114.82533262311796
"[500, 1000)",specialist_stack,42,6,572.2953178877609,-155.44859226635648,174.92965008987665,-247.46529207095656,-113.96323244172568
