project,cpt_id,z_top_m,z_bot_m,z_mid_m,gwl_m,geo_age,test_method,qc_mpa,fs_mpa,u2_mpa,rf_pct,vs_meas_mps,qt_mpa,z_above_gwl_m,z_below_gwl_m,gamma_sat_kn_m3,gamma_unsat_kn_m3,sigma_v_kpa,u0_kpa,sigma_eff_kpa,bq,log_vs_meas,group_project,group_cpt
Hungaria krt,CPT4,1.0,2.0,1.5,6.8,Quaternary,SCPT,7.015411764705882,0.0342401960784313,0.0,0.4880710815962614,162.4,7.015411764705882,5.3,0.0,18.96740968557088,17.96740968557088,26.951114528356317,0.0,26.951114528356317,0.0,5.090062427727577,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,2.0,3.0,2.5,6.8,Quaternary,SCPT,8.271196078431371,0.0630927450980392,0.0,0.7628007424774378,288.5,8.271196078431371,4.3,0.0,19.913554237218865,18.913554237218865,47.28388559304716,0.0,47.28388559304716,0.0,5.664695085948154,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,3.0,4.0,3.5,6.8,Quaternary,SCPT,9.575372549019606,0.0795292156862744,0.0001372549019607,0.830560015071343,350.1,9.575413725490195,3.3,0.0,20.31798550636852,19.31798550636852,67.61294927228981,0.0,67.61294927228981,1.4436030496560156e-05,5.85821882796062,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,4.0,5.0,4.5,6.8,Quaternary,SCPT,22.12003921568628,0.1795603921568627,0.000235294117647,0.8117544024493801,433.7,22.12010980392157,2.3,0.0,21.7049639146644,20.7049639146644,93.1723376159898,0.0,93.1723376159898,1.0682107669617143e-05,6.07235305084132,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,5.0,6.0,5.5,6.8,Quaternary,SCPT,30.437843137254905,0.2594201960784314,0.002,0.852294937287819,462.7,30.438443137254904,1.2999999999999998,0.0,22.326127120400884,21.326127120400884,117.29369916220486,0.0,117.29369916220486,6.596056010618727e-05,6.137078895912954,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,6.0,7.0,6.5,6.8,Quaternary,SCPT,30.48896078431373,0.2579956862745098,0.0059215686274509,0.8461937686221372,333.9,30.49073725490197,0.2999999999999998,0.0,22.343177533720585,21.343177533720585,138.7306539691838,0.0,138.7306539691838,0.00019509644635056574,5.810841546949609,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,7.0,8.0,7.5,6.8,Quaternary,SCPT,16.363529411764706,0.1855998039215686,0.0694117647058823,1.1342284372229012,343.2,16.38435294117647,0.0,0.7000000000000002,21.731461013715478,20.731461013715478,156.18595760286607,6.867000000000002,149.31895760286608,0.0038540868336634105,5.838313367613807,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,8.0,9.0,8.5,6.8,Quaternary,SCPT,26.857098039215696,0.0946101960784313,0.0280980392156862,0.3522725945308208,227.5,26.8655274509804,0.0,1.7000000000000002,20.992552627447935,19.992552627447935,171.63669733330744,16.677000000000003,154.95969733330745,0.0004278521749073158,5.427150238391005,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,9.0,10.0,9.5,6.8,Quaternary,SCPT,12.717823529411763,0.1193778431372549,0.0440392156862745,0.9386656676055992,242.8,12.731035294117646,0.0,2.7,21.094516952032183,20.094516952032183,193.59791104430576,26.487000000000002,167.11091104430577,0.0013999843149742513,5.492238059185343,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,10.0,11.0,10.5,6.8,Tertiary,SCPT,4.805019607843136,0.1777654901960784,0.0760588235294117,3.699578871768086,233.1,4.82783725490196,0.0,3.7,21.350146413674274,20.350146413674274,217.37653734357988,36.297000000000004,181.0795373435799,0.008624262511983592,5.451467546041712,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,11.0,12.0,11.5,6.8,Tertiary,SCPT,5.648941176470588,0.1823270588235294,0.0725882352941176,3.2276324558480507,247.4,5.670717647058823,0.0,4.7,21.446215395383195,20.446215395383195,239.83147704690674,46.107000000000006,193.72447704690674,0.004876043147496037,5.511006459958388,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,12.0,13.0,12.5,6.8,Tertiary,SCPT,6.17486274509804,0.175641568627451,0.0620980392156863,2.8444610978095883,278.2,6.193492156862746,0.0,5.7,21.434679870570005,20.434679870570005,261.133498382125,55.917,205.21649838212502,0.0010419193395952522,5.628340279489343,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,13.0,14.0,13.5,6.8,Tertiary,SCPT,5.543176470588235,0.2157856862745098,0.0441176470588235,3.892816463979739,206.7,5.556411764705882,0.0,6.7,21.689836402110934,20.689836402110934,286.0127914284976,65.727,220.28579142849762,-0.004100136071432706,5.331268466687723,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,14.0,15.0,14.5,6.8,Tertiary,SCPT,6.822490196078431,0.2559747058823528,0.0103529411764705,3.751924862119804,238.6,6.8255960784313725,0.0,7.7,21.992560712964025,20.992560712964025,312.09213033797835,75.537,236.55513033797834,-0.010007525802238888,5.474788509663815,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,15.0,16.0,15.5,6.8,Tertiary,SCPT,7.360274509803921,0.2588839215686275,0.2558823529411764,3.517313399436296,342.0,7.437039215686275,0.0,8.7,22.04341525433917,21.04341525433917,334.8729364422571,85.347,249.52593644225715,0.024011737579217714,5.834810737062605,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,16.0,17.0,16.5,6.8,Tertiary,SCPT,5.207156862745099,0.2034472549019607,0.5636666666666668,3.907069832244459,266.7,5.376256862745099,0.0,9.7,21.629306394959414,20.629306394959414,350.0835555168303,95.157,254.92655551683032,0.0932139896554882,5.586124431187969,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,17.0,18.0,17.5,6.8,Tertiary,SCPT,4.974980392156863,0.1554527450980392,0.9340588235294116,3.124690608692911,185.1,5.255198039215687,0.0,10.7,21.268569943000788,20.268569943000788,365.3999740025138,104.967,260.4329740025138,0.1695554320387394,5.220896219579452,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,18.0,19.0,18.5,6.8,Tertiary,SCPT,5.845607843137255,0.1421011764705882,1.3473333333333335,2.4309050535679546,209.6,6.249807843137256,0.0,11.7,21.208326123559033,20.208326123559033,385.5540332858421,114.777,270.7770332858421,0.2101812734064734,5.345200952446887,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,19.0,20.0,19.5,6.8,Tertiary,SCPT,4.712666666666666,0.1291994117647058,0.903313725490196,2.7415351202017084,268.3,4.9836607843137255,0.0,12.7,21.018903016354916,20.018903016354916,403.06860881892084,124.587,278.48160881892085,0.1700056882724069,5.592105757431579,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,20.0,21.0,20.5,6.8,Tertiary,SCPT,5.016549019607844,0.1419680392156863,0.7006274509803921,2.82999405887963,241.8,5.226737254901962,0.0,13.7,21.167431053218717,20.167431053218717,427.1323365909837,134.397,292.7353365909837,0.1179743876043142,5.488110938180692,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,21.0,22.0,21.5,6.8,Tertiary,SCPT,6.585705882352942,0.1836739215686274,1.3304117647058824,2.788978506629033,230.6,6.984829411764706,0.0,14.7,21.609161000155797,20.609161000155797,457.7969615033496,144.207,313.5899615033496,0.18173722495563574,5.440684607834958,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,1.5,2.1,1.8,6.8,Quaternary,MASW,9.111419354838707,0.0476322580645161,0.0,0.522775389975005,226.755552052112,9.111419354838707,5.0,0.0,19.517443779375668,18.517443779375668,33.3313988028762,0.0,33.3313988028762,0.0,5.423872574041073,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,2.1,4.0,3.05,6.8,Quaternary,MASW,8.919760416666671,0.0721867708333333,7.291666666666667e-05,0.8092904681436458,253.7146866871708,8.919782291666671,3.75,0.0,20.146285530836295,19.146285530836295,58.39617086905069,0.0,58.39617086905069,8.228584746525343e-06,5.536210354906699,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,4.0,5.0,4.5,6.8,Quaternary,MASW,22.12003921568628,0.1795603921568627,0.000235294117647,0.8117544024493801,309.832496723211,22.12010980392157,2.3,0.0,21.7049639146644,20.7049639146644,93.1723376159898,0.0,93.1723376159898,1.0682107669617143e-05,5.736031818295697,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,5.0,6.7,5.85,6.8,Quaternary,MASW,31.719023255813955,0.2750639534883722,0.0034186046511627,0.867189229851062,338.34076859735893,31.720048837209305,0.9500000000000002,0.0,22.426339539411803,21.426339539411803,125.34408630555905,0.0,125.34408630555905,0.00010820182299899204,5.824053578716136,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,6.7,7.8,7.25,6.8,Quaternary,MASW,14.434875000000003,0.1894707142857142,0.0544642857142857,1.3125899204926554,293.18947731215565,14.45121428571429,0.0,0.4500000000000002,21.71622506713319,20.71622506713319,150.64263173671563,4.414500000000002,146.22813173671562,0.0034998451058678346,5.680819080255764,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,7.8,9.0,8.4,6.8,Quaternary,MASW,28.764360655737708,0.0981278688524589,0.0342131147540983,0.341143924688224,160.45082839849806,28.77462459016394,0.0,1.6000000000000005,21.06087526822708,20.06087526822708,170.11135225310747,15.696000000000007,154.41535225310747,0.0006473494095175422,5.077987530512298,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,9.0,11.5,10.25,6.8,Quaternary,MASW,8.191761904761908,0.1543450793650793,0.0628809523809522,1.8841499687064625,185.96619822180912,8.210626190476193,0.0,3.45,21.31792991580959,20.31792991580959,211.70878163704828,33.844500000000004,177.86428163704826,0.0036300477798240152,5.2255649272080325,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,11.5,13.5,12.5,6.8,Tertiary,MASW,5.756762376237623,0.1779920792079208,0.0608712871287128,3.0918781699697133,257.62484692640925,5.775023762376238,0.0,5.7,21.431310043651635,20.431310043651635,261.0913755456454,55.917,205.1743755456454,0.0008985034238986239,5.551504445038333,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,13.5,15.5,14.5,6.8,Tertiary,MASW,7.016386138613864,0.2596622772277227,0.0575544554455445,3.7007979905595794,281.53442457121537,7.033652475247528,0.0,7.7,22.020945546012705,21.020945546012705,312.50371041718427,75.537,236.96671041718426,-0.0026755165201152076,5.640254729876372,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,15.5,17.0,16.25,6.8,Tertiary,MASW,5.609499999999998,0.2149944736842105,0.4947500000000001,3.832685153475543,270.888556241701,5.757924999999998,0.0,9.45,21.722292433063238,20.722292433063238,346.18725203727763,92.7045,253.48275203727763,0.07429138637609561,5.601707504720367,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,17.0,20.5,18.75,6.8,Tertiary,MASW,5.095624999999998,0.1414821022727272,0.9990738636363634,2.7765407044813406,244.4248801792452,5.395347159090908,0.0,11.95,21.159678659204523,20.159678659204523,389.94397486008484,117.2295,272.7144748600848,0.1761784877618956,5.4989080231768055,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT4,20.5,22.5,21.5,6.8,Tertiary,MASW,6.316227722772282,0.1703072277227723,1.1894059405940591,2.6963440078126584,379.2784974614476,6.673049504950499,0.0,14.7,21.493554280987027,20.493554280987027,455.3114170412211,144.207,311.1044170412211,0.16809954453155623,5.9382707570310895,Hungaria krt,Hungaria krt__CPT4
Hungaria krt,CPT5,1.0,2.0,1.5,6.8,Quaternary,SCPT,5.364843137254904,0.0502776470588235,0.0,0.9371690051789604,130.3,5.364843137254904,5.3,0.0,19.403062364574094,18.403062364574094,27.60459354686114,0.0,27.60459354686114,0.0,4.869839484130799,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,2.0,3.0,2.5,6.8,Quaternary,SCPT,7.222803921568628,0.0658062745098039,0.0,0.9110904189617308,151.8,7.222803921568628,4.3,0.0,19.929042925314597,18.929042925314597,47.3226073132865,0.0,47.3226073132865,0.0,5.02256386496153,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,3.0,4.0,3.5,6.8,Quaternary,SCPT,19.99447058823529,0.1550723529411764,0.0001372549019607,0.7755761887109967,291.8,19.99451176470588,3.3,0.0,21.440836584649126,20.440836584649126,71.54292804627194,0.0,71.54292804627194,6.889279558985289e-06,5.676068636088686,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,4.0,5.0,4.5,6.8,Quaternary,SCPT,41.8202549019608,0.2343658823529412,0.0021176470588235,0.5604123717140534,433.5,41.820890196078444,2.3,0.0,22.257208029094294,21.257208029094294,95.65743613092432,0.0,95.65743613092432,5.0752192827939154e-05,6.071891796220597,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,5.0,6.0,5.5,6.8,Quaternary,SCPT,33.898411764705884,0.1819880392156863,0.005156862745098,0.5368630261467512,594.0,33.89995882352941,1.2999999999999998,0.0,21.88159192906975,20.88159192906975,114.84875560988363,0.0,114.84875560988363,0.00015263714502427127,6.386879319362645,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,6.0,7.0,6.5,6.8,Quaternary,SCPT,26.45058823529412,0.1361952941176471,0.029313725490196,0.5149045945825738,361.6,26.459382352941176,0.2999999999999998,0.0,21.439969715060478,20.439969715060478,132.8598031478931,0.0,132.8598031478931,0.001113467433260614,5.890538628518022,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,7.0,8.0,7.5,6.8,Quaternary,SCPT,21.45733333333333,0.3219429411764706,0.0345490196078431,1.5003865400009506,202.8,21.467698039215687,0.0,0.7000000000000002,22.55513466418576,21.55513466418576,162.3635099813932,6.867000000000002,155.49650998139322,0.0012992999274364354,5.312220271717028,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,8.0,9.0,8.5,6.8,Tertiary,SCPT,6.916098039215687,0.2063547058823529,0.0798431372549018,2.9836868232966003,239.5,6.940050980392157,0.0,1.7000000000000002,21.630966677725603,20.630966677725603,177.06321676066761,16.677000000000003,160.38621676066762,0.00933997509127294,5.4785534168509695,Hungaria krt,Hungaria krt__CPT5
